Mask,Prime,Word,Translation,corrAnsLexical,ciclo.thisRepN,ciclo.thisTrialN,ciclo.thisN,ciclo.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
#######,tro####,tropaje,NW,0,0,0,0,66,1,0,6.155726508000043,tes,2019_Mar_16_0844,decision_lexica_visual,3.0.5,60.1556891797948,
#########,org######,orgulloso,proud,1,0,1,1,43,1,1,9.346134367000104,tes,2019_Mar_16_0844,decision_lexica_visual,3.0.5,60.1556891797948,
