Mask,Prime,Word,Translation,corrAnsLexical,ciclo.thisRepN,ciclo.thisTrialN,ciclo.thisN,ciclo.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
########,reb#####,rebuscar,rummage,1,0,0,0,45,1,1,0.8981618520001575,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
#####,be###,besar,kiss,1,0,1,1,2,0,0,0.4988045400000374,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
########,ba######,batillón,NW,0,0,2,2,1,0,1,0.46812719299987293,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
########,fo######,fomentar,promote,1,0,3,3,19,0,0,0.5185934520000046,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
#####,reg##,regar,water,1,0,4,4,46,1,1,0.46954948400025387,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
######,zap###,zapato,shoe,1,0,5,5,59,1,1,0.5192934249998871,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
#######,ca#####,capillo,NW,0,0,6,6,11,1,0,0.9688821360000475,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
######,ba####,barato,cheap,1,0,7,7,0,0,0,0.8643864189998567,recording,2019_Mar_16_0907,decision_lexica_visual,3.0.5,60.30087495426546,
