Mask,Prime,Word,Translation,corrAnsLexical,ciclo.thisRepN,ciclo.thisTrialN,ciclo.thisN,ciclo.thisIndex,lexEsp_key_resp.keys,lexEsp_key_resp.corr,lexEsp_key_resp.rt,participant,date,expName,psychopyVersion,frameRate,
#######,ca#####,cabello,hair,1,0,0,0,5,1,1,1.1844464280002285,recording,2019_Mar_16_0905,decision_lexica_visual,3.0.5,60.25522329032172,
#####,yac##,yacer,lie,1,0,1,1,57,1,1,1.6657728840000345,recording,2019_Mar_16_0905,decision_lexica_visual,3.0.5,60.25522329032172,
######,lát###,látigo,whip,1,0,2,2,28,0,0,1.814693977999923,recording,2019_Mar_16_0905,decision_lexica_visual,3.0.5,60.25522329032172,
#####,ga###,ganar,win,1,0,3,3,21,1,1,1.4822216640000079,recording,2019_Mar_16_0905,decision_lexica_visual,3.0.5,60.25522329032172,
