sectionEng,questionNum,questionTextEng,languageEng,sectionEsp,questionTextEsp
Language history,1a,At what age did you start learning the following languages?,English,Historial linguistico,¿A qué edad empezó a aprender las siguientes lenguas?
Language history,1b,At what age did you start learning the following languages?,Spanish,Historial linguistico,¿A qué edad empezó a aprender las siguientes lenguas?
Language history,2a,At what age did you start to feel comfortable using the following languages?,English,Historial linguistico,¿A qué edad empezó a sentirse cómodo usando las siguientes lenguas?
Language history,2b,At what age did you start to feel comfortable using the following languages?,Spanish,Historial linguistico,¿A qué edad empezó a sentirse cómodo usando las siguientes lenguas?
Language history,3a,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",English,Historial linguistico,"Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en las siguientes lenguas (desde la escuela primaria a la universidad)?"
Language history,3b,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",Spanish,Historial linguistico,"Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en las siguientes lenguas (desde la escuela primaria a la universidad)?"
Language history,4a,How many years have you spent in a country/region where the following languages are spoken?,English,Historial linguistico,¿Cuántos años ha pasado en un país/región donde se hablan las siguientes lenguas?
Language history,4b,How many years have you spent in a country/region where the following languages are spoken?,Spanish,Historial linguistico,¿Cuántos años ha pasado en un país/región donde se hablan las siguientes lenguas?
Language history,5a,How many years have you spent in a family where the following languages are spoken?,English,Historial linguistico,¿Cuántos años ha pasado en familia hablando las siguientes lenguas?
Language history,5b,How many years have you spent in a family where the following languages are spoken?,Spanish,Historial linguistico,¿Cuántos años ha pasado en familia hablando las siguientes lenguas?
Language history,6a,How many years have you spent in a work environment where the following languages are spoken?,English,Historial linguistico,¿Cuántos años ha pasado en un ambiente de trabajo donde se hablan las siguientes lenguas?
Language history,6b,How many years have you spent in a work environment where the following languages are spoken?,Spanish,Historial linguistico,¿Cuántos años ha pasado en un ambiente de trabajo donde se hablan las siguientes lenguas?
Language use,7a,"In an average week, what percentage of the time do you use the following languages with friends?",English,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas con sus amigos? El total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%."
Language use,7b,"In an average week, what percentage of the time do you use the following languages with friends?",Spanish,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas con sus amigos? El total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%."
