stimuliPractice0,stimuliPractice1,stimuliList,stimuliA0,stimuliA1,stimuliA2,stimuliA3,stimuliA4,stimuliA5,stimuliA6,stimuliA7,stimuliA8,stimuliA9,stimuliA10,stimuliA11,stimuliA12,stimuliA13,stimuliA14,stimuliA15,stimuliA16,stimuliA17,stimuliA18,stimuliA19,stimuliA20,stimuliA21,stimuliA22,stimuliA23,syllabification,corrSyl,corrAns,keyCVC,keyCV,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,exp_key_resp.keys,exp_key_resp.rt,sylExp_key_resp.keys,sylExp_key_resp.corr,sylExp_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
zarcillo,jasmina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
secano,pocilga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
jarana,jaqueca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
del,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,y,0.13585538500046823,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,None,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,None,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,None,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,0,0,0,0,0,5,5,9,,,,,,,,,None,,,,,part004,A,2019_Feb_27_1750,Syllabification,3.0.5,60.344181851345404,
