block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block21,pesipa,CV,CV,pe,nonword,match,pes,pes,critical,1.0
block21,docado,CV,CV,pe,nonword,match,pes,doc,filler01,None
block21,normaso,CVC,CV,pe,nonword,mismatch,pes,nor,filler02,None
block21,borpanza,CVC,CV,pe,nonword,mismatch,pes,bor,filler03,None
block21,daviba,CV,CV,pe,nonword,match,pes,dav,filler04,None
block21,cabsero,CVC,CV,pe,nonword,mismatch,pes,cab,filler05,None
block21,tutmuja,CVC,CV,pe,nonword,mismatch,pes,tut,filler06,None
block21,talaja,CV,CV,pe,nonword,match,pes,tal,filler07,None
block21,gorente,CV,CV,pe,nonword,match,pes,gor,filler08,None
block21,lultame,CVC,CV,pe,nonword,mismatch,pes,lul,filler09,None
