,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
120,block13,cerveza,CVC,CVC,cer,word,match,cer,cer,critical
121,block13,sandía,CVC,CVC,cer,word,match,cer,san,filler01
122,block13,soltura,CVC,CVC,cer,word,match,cer,sol,filler02
123,block13,ginebra,CV,CVC,cer,word,mismatch,cer,gin,filler03
124,block13,solvencia,CVC,CVC,cer,word,match,cer,sol,filler04
125,block13,tungsteno,CVC,CVC,cer,word,match,cer,tun,filler05
126,block13,gusano,CV,CVC,cer,word,mismatch,cer,gus,filler06
127,block13,gozada,CV,CVC,cer,word,mismatch,cer,goz,filler07
128,block13,juguete,CV,CVC,cer,word,mismatch,cer,jug,filler08
129,block13,jinete,CV,CVC,cer,word,mismatch,cer,jin,filler09
