block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block57,paloma,CV,CV,pa,word,match,pal,pal,critical,1.0
block57,gorguera,CVC,CV,pa,word,mismatch,pal,gor,filler01,None
block57,gorjeo,CVC,CV,pa,word,mismatch,pal,gor,filler02,None
block57,conducta,CVC,CV,pa,word,mismatch,pal,con,filler03,None
block57,vivero,CV,CV,pa,word,match,pal,viv,filler04,None
block57,fortuna,CVC,CV,pa,word,mismatch,pal,for,filler05,None
block57,cornada,CVC,CV,pa,word,mismatch,pal,cor,filler06,None
block57,regata,CV,CV,pa,word,match,pal,reg,filler07,None
block57,cigarra,CV,CV,pa,word,match,pal,cig,filler08,None
block57,giralda,CV,CV,pa,word,match,pal,gir,filler09,None
