,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
220,block23,jorteda,CVC,CV,jo,nonword,mismatch,jor,jor,critical
221,block23,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01
222,block23,cividra,CV,CV,jo,nonword,match,jor,civ,filler02
223,block23,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03
224,block23,bidena,CV,CV,jo,nonword,match,jor,bid,filler04
225,block23,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05
226,block23,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06
227,block23,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07
228,block23,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08
229,block23,bimina,CV,CV,jo,nonword,match,jor,bim,filler09
