block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block37,camofa,CV,CV,ca,nonword,match,cam,cam,critical,1.0
block37,depite,CV,CV,ca,nonword,match,cam,dep,filler01,None
block37,neteno,CV,CV,ca,nonword,match,cam,net,filler02,None
block37,nenedo,CV,CV,ca,nonword,match,cam,nen,filler03,None
block37,dedioro,CV,CV,ca,nonword,match,cam,ded,filler04,None
block37,sobvondo,CVC,CV,ca,nonword,mismatch,cam,sob,filler05,None
block37,tunruja,CVC,CV,ca,nonword,mismatch,cam,tun,filler06,None
block37,sunsanso,CVC,CV,ca,nonword,mismatch,cam,sun,filler07,None
block37,sutmido,CVC,CV,ca,nonword,mismatch,cam,sut,filler08,None
block37,fuztancia,CVC,CV,ca,nonword,mismatch,cam,fuz,filler09,None
