,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
190,block20,murepla,CV,CV,mu,nonword,match,mur,mur,critical
191,block20,senena,CV,CV,mu,nonword,match,mur,sen,filler01
192,block20,viztura,CVC,CV,mu,nonword,mismatch,mur,viz,filler02
193,block20,cosdura,CVC,CV,mu,nonword,mismatch,mur,cos,filler03
194,block20,bipero,CV,CV,mu,nonword,match,mur,bip,filler04
195,block20,civicha,CV,CV,mu,nonword,match,mur,civ,filler05
196,block20,lastadia,CVC,CV,mu,nonword,mismatch,mur,las,filler06
197,block20,siquija,CV,CV,mu,nonword,match,mur,siq,filler07
198,block20,vintoble,CVC,CV,mu,nonword,mismatch,mur,vin,filler08
199,block20,caljero,CVC,CV,mu,nonword,mismatch,mur,cal,filler09
