block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block20,pestaña,CVC,CVC,pes,word,match,pes,pes,critical,1.0
block20,talante,CV,CVC,pes,word,mismatch,pes,tal,filler01,None
block20,tornillo,CVC,CVC,pes,word,match,pes,tor,filler02,None
block20,ruptura,CVC,CVC,pes,word,match,pes,rup,filler03,None
block20,durmiente,CVC,CVC,pes,word,match,pes,dur,filler04,None
block20,burbuja,CVC,CVC,pes,word,match,pes,bur,filler05,None
block20,viruela,CV,CVC,pes,word,mismatch,pes,vir,filler06,None
block20,lavabo,CV,CVC,pes,word,mismatch,pes,lav,filler07,None
block20,butaca,CV,CVC,pes,word,mismatch,pes,but,filler08,None
block20,ribera,CV,CVC,pes,word,mismatch,pes,rib,filler09,None
