block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block14,joruma,CV,CVC,jor,nonword,mismatch,jor,jor,critical
block14,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01
block14,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02
block14,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03
block14,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04
block14,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05
block14,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06
block14,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07
block14,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08
block14,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09
