,block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
340,block35,campana,CVC,CV,word,mismatch,cam,cam,critical,1
341,block35,porfía,CVC,CV,word,mismatch,cam,por,filler01,None
342,block35,ternera,CVC,CV,word,mismatch,cam,ter,filler02,None
343,block35,poniente,CV,CV,word,match,cam,pon,filler03,None
344,block35,ponencia,CV,CV,word,match,cam,pon,filler04,None
345,block35,felpudo,CVC,CV,word,mismatch,cam,fel,filler05,None
346,block35,suspenso,CVC,CV,word,mismatch,cam,sus,filler06,None
347,block35,topacio,CV,CV,word,match,cam,top,filler07,None
348,block35,ribazo,CV,CV,word,match,cam,rib,filler08,None
349,block35,noviazgo,CV,CV,word,match,cam,nov,filler09,None
