block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block11,garventa,CVC,CV,ga,nonword,mismatch,gar,gar,critical
block11,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01
block11,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02
block11,nulese,CV,CV,ga,nonword,match,gar,nul,filler03
block11,numete,CV,CV,ga,nonword,match,gar,num,filler04
block11,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05
block11,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06
block11,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07
block11,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08
block11,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09
