block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block19,peseta,CV,CVC,pes,word,mismatch,pes,pes,critical,1.0
block19,tardanza,CVC,CVC,pes,word,match,pes,tar,filler01,None
block19,tornillo,CVC,CVC,pes,word,match,pes,tor,filler02,None
block19,ruptura,CVC,CVC,pes,word,match,pes,rup,filler03,None
block19,durmiente,CVC,CVC,pes,word,match,pes,dur,filler04,None
block19,burbuja,CVC,CVC,pes,word,match,pes,bur,filler05,None
block19,viruela,CV,CVC,pes,word,mismatch,pes,vir,filler06,None
block19,lavabo,CV,CVC,pes,word,mismatch,pes,lav,filler07,None
block19,butaca,CV,CVC,pes,word,mismatch,pes,but,filler08,None
block19,ribera,CV,CVC,pes,word,mismatch,pes,rib,filler09,None
