block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block10,joruma,CV,CV,jo,nonword,match,jor,jor,critical
block10,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01
block10,cividra,CV,CV,jo,nonword,match,jor,civ,filler02
block10,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03
block10,banzalla,CVC,CV,jo,nonword,mismatch,jor,ban,filler04
block10,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05
block10,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06
block10,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07
block10,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08
block10,bimina,CV,CV,jo,nonword,match,jor,bim,filler09
