block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block38,camofa,CV,CVC,cam,nonword,mismatch,cam,cam,critical,1.0
block38,devillo,CV,CVC,cam,nonword,mismatch,cam,dev,filler01,None
block38,nencida,CVC,CVC,cam,nonword,match,cam,nen,filler02,None
block38,pirijuo,CV,CVC,cam,nonword,mismatch,cam,pir,filler03,None
block38,bercillo,CVC,CVC,cam,nonword,match,cam,ber,filler04,None
block38,penvalla,CVC,CVC,cam,nonword,match,cam,pen,filler05,None
block38,voltura,CVC,CVC,cam,nonword,match,cam,vol,filler06,None
block38,foscillo,CVC,CVC,cam,nonword,match,cam,fos,filler07,None
block38,febago,CV,CVC,cam,nonword,mismatch,cam,feb,filler08,None
block38,lercuente,CVC,CVC,cam,nonword,match,cam,ler,filler09,None
