,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
30,block04,jornada,CVC,CV,jo,word,mismatch,jor,jor,critical
31,block04,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01
32,block04,tumulto,CV,CV,jo,word,match,jor,tum,filler02
33,block04,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03
34,block04,bufanda,CV,CV,jo,word,match,jor,buf,filler04
35,block04,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05
36,block04,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06
37,block04,vigilia,CV,CV,jo,word,match,jor,vig,filler07
38,block04,pupitre,CV,CV,jo,word,match,jor,pup,filler08
39,block04,bigote,CV,CV,jo,word,match,jor,big,filler09
