,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
200,block21,cerliza,CVC,CV,ce,nonword,mismatch,cer,cer,critical
201,block21,vofida,CV,CV,ce,nonword,match,cer,vof,filler01
202,block21,moncura,CVC,CV,ce,nonword,mismatch,cer,mon,filler02
203,block21,biñena,CV,CV,ce,nonword,match,cer,biñ,filler03
204,block21,tovero,CV,CV,ce,nonword,match,cer,tov,filler04
205,block21,lunino,CV,CV,ce,nonword,match,cer,lun,filler05
206,block21,tunsuja,CVC,CV,ce,nonword,mismatch,cer,tun,filler06
207,block21,noñita,CV,CV,ce,nonword,match,cer,noñ,filler07
208,block21,fampioza,CVC,CV,ce,nonword,mismatch,cer,fam,filler08
209,block21,tonvanza,CVC,CV,ce,nonword,mismatch,cer,ton,filler09
