,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
140,block15,garventa,CVC,CVC,gar,nonword,match,gar,gar,critical
141,block15,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01
142,block15,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02
143,block15,sucema,CV,CVC,gar,nonword,mismatch,gar,suc,filler03
144,block15,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04
145,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05
146,block15,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06
147,block15,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07
148,block15,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08
149,block15,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09
