,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
10,block02,joroba,CV,CV,jo,word,match,jor,jor,critical
11,block02,zancada,CVC,CV,jo,word,mismatch,jor,zan,filler01
12,block02,tumulto,CV,CV,jo,word,match,jor,tum,filler02
13,block02,ventaja,CVC,CV,jo,word,mismatch,jor,ven,filler03
14,block02,cintura,CVC,CV,jo,word,mismatch,jor,cin,filler04
15,block02,tintero,CVC,CV,jo,word,mismatch,jor,tin,filler05
16,block02,piscina,CVC,CV,jo,word,mismatch,jor,pis,filler06
17,block02,vigilia,CV,CV,jo,word,match,jor,vig,filler07
18,block02,pupitre,CV,CV,jo,word,match,jor,pup,filler08
19,block02,bigote,CV,CV,jo,word,match,jor,big,filler09
