,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
310,block32,murdallo,CVC,CVC,mur,nonword,match,mur,mur,critical
311,block32,poncilla,CVC,CVC,mur,nonword,match,mur,pon,filler01
312,block32,sobisco,CV,CVC,mur,nonword,mismatch,mur,sob,filler02
313,block32,deciro,CV,CVC,mur,nonword,mismatch,mur,dec,filler03
314,block32,fascuna,CVC,CVC,mur,nonword,match,mur,fas,filler04
315,block32,hobita,CV,CVC,mur,nonword,mismatch,mur,hob,filler05
316,block32,fañeilla,CV,CVC,mur,nonword,mismatch,mur,fañ,filler06
317,block32,costonche,CVC,CVC,mur,nonword,match,mur,cos,filler07
318,block32,nocena,CV,CVC,mur,nonword,mismatch,mur,noc,filler08
319,block32,tenguga,CVC,CVC,mur,nonword,match,mur,ten,filler09
