block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block46,culseble,CVC,CVC,cul,nonword,match,cul,cul,critical,1.0
block46,nesedo,CV,CVC,cul,nonword,mismatch,cul,nes,filler01,None
block46,deñalla,CV,CVC,cul,nonword,mismatch,cul,deñ,filler02,None
block46,varime,CV,CVC,cul,nonword,mismatch,cul,var,filler03,None
block46,fantarna,CVC,CVC,cul,nonword,match,cul,fan,filler04,None
block46,norita,CV,CVC,cul,nonword,mismatch,cul,nor,filler05,None
block46,permaza,CVC,CVC,cul,nonword,match,cul,per,filler06,None
block46,dipona,CV,CVC,cul,nonword,mismatch,cul,dip,filler07,None
block46,fangurdo,CVC,CVC,cul,nonword,match,cul,fan,filler08,None
block46,manvera,CVC,CVC,cul,nonword,match,cul,man,filler09,None
