block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block12,jorteda,CVC,CV,jo,nonword,mismatch,jor,jor,critical
block12,biluesa,CV,CV,jo,nonword,match,jor,bil,filler01
block12,cividra,CV,CV,jo,nonword,match,jor,civ,filler02
block12,gantarna,CVC,CV,jo,nonword,mismatch,jor,gan,filler03
block12,bidena,CV,CV,jo,nonword,match,jor,bid,filler04
block12,piglillo,CVC,CV,jo,nonword,mismatch,jor,pig,filler05
block12,tinneza,CVC,CV,jo,nonword,mismatch,jor,tin,filler06
block12,fuzallo,CV,CV,jo,nonword,match,jor,fuz,filler07
block12,vendagio,CVC,CV,jo,nonword,mismatch,jor,ven,filler08
block12,bimina,CV,CV,jo,nonword,match,jor,bim,filler09
