block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block17,peseta,CV,CV,pe,word,match,pes,pes,critical,1.0
block17,langosta,CVC,CV,pe,word,mismatch,pes,lan,filler01,None
block17,jilguero,CVC,CV,pe,word,mismatch,pes,jil,filler02,None
block17,gordura,CVC,CV,pe,word,mismatch,pes,gor,filler03,None
block17,doncella,CVC,CV,pe,word,mismatch,pes,don,filler04,None
block17,fantoche,CVC,CV,pe,word,mismatch,pes,fan,filler05,None
block17,laguna,CV,CV,pe,word,match,pes,lag,filler06,None
block17,jacinto,CV,CV,pe,word,match,pes,jac,filler07,None
block17,duquesa,CV,CV,pe,word,match,pes,duq,filler08,None
block17,dominio,CV,CV,pe,word,match,pes,dom,filler09,None
