,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
160,block17,cerida,CV,CV,ce,nonword,match,cer,cer,critical
161,block17,vofida,CV,CV,ce,nonword,match,cer,vof,filler01
162,block17,moncura,CVC,CV,ce,nonword,mismatch,cer,mon,filler02
163,block17,biñena,CV,CV,ce,nonword,match,cer,biñ,filler03
164,block17,dosmuente,CVC,CV,ce,nonword,mismatch,cer,dos,filler04
165,block17,lunino,CV,CV,ce,nonword,match,cer,lun,filler05
166,block17,tunsuja,CVC,CV,ce,nonword,mismatch,cer,tun,filler06
167,block17,noñita,CV,CV,ce,nonword,match,cer,noñ,filler07
168,block17,fampioza,CVC,CV,ce,nonword,mismatch,cer,fam,filler08
169,block17,tonvanza,CVC,CV,ce,nonword,mismatch,cer,ton,filler09
