block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block05,balega,CV,CV,nonword,match,bal,bal,critical,1
block05,soponso,CV,CV,nonword,match,bal,sop,filler01,None
block05,zictencia,CVC,CV,nonword,mismatch,bal,zic,filler02,None
block05,turjuma,CVC,CV,nonword,mismatch,bal,tur,filler03,None
block05,cuntefa,CVC,CV,nonword,mismatch,bal,cun,filler04,None
block05,cicaigo,CV,CV,nonword,match,bal,cic,filler05,None
block05,soreto,CV,CV,nonword,match,bal,sor,filler06,None
block05,dosbiente,CVC,CV,nonword,mismatch,bal,dos,filler07,None
block05,fontama,CVC,CV,nonword,mismatch,bal,fon,filler08,None
block05,decibio,CV,CV,nonword,match,bal,dec,filler09,None
block06,balbusa,CVC,CV,nonword,mismatch,bal,bal,critical,1
block06,soponso,CV,CV,nonword,match,bal,sop,filler01,None
block06,zictencia,CVC,CV,nonword,mismatch,bal,zic,filler02,None
block06,ruñansa,CV,CV,nonword,match,bal,ruñ,filler03,None
block06,cuntefa,CVC,CV,nonword,mismatch,bal,cun,filler04,None
block06,cicaigo,CV,CV,nonword,match,bal,cic,filler05,None
block06,soreto,CV,CV,nonword,match,bal,sor,filler06,None
block06,dosbiente,CVC,CV,nonword,mismatch,bal,dos,filler07,None
block06,fontama,CVC,CV,nonword,mismatch,bal,fon,filler08,None
block06,decibio,CV,CV,nonword,match,bal,dec,filler09,None
block07,balega,CV,CVC,nonword,mismatch,bal,bal,critical,1
block07,denciña,CVC,CVC,nonword,match,bal,den,filler01,None
block07,cecaja,CV,CVC,nonword,mismatch,bal,cec,filler02,None
block07,vestolcio,CVC,CVC,nonword,match,bal,ves,filler03,None
block07,cicora,CV,CVC,nonword,mismatch,bal,cic,filler04,None
block07,sinvera,CVC,CVC,nonword,match,bal,sin,filler05,None
block07,simedo,CV,CVC,nonword,mismatch,bal,sim,filler06,None
block07,donania,CV,CVC,nonword,mismatch,bal,don,filler07,None
block07,vinterca,CVC,CVC,nonword,match,bal,vin,filler08,None
block07,cencera,CVC,CVC,nonword,match,bal,cen,filler09,None
block08,balbusa,CVC,CVC,nonword,match,bal,bal,critical,1
block08,denciña,CVC,CVC,nonword,match,bal,den,filler01,None
block08,cecaja,CV,CVC,nonword,mismatch,bal,cec,filler02,None
block08,vestolcio,CVC,CVC,nonword,match,bal,ves,filler03,None
block08,cicora,CV,CVC,nonword,mismatch,bal,cic,filler04,None
block08,sinvera,CVC,CVC,nonword,match,bal,sin,filler05,None
block08,simedo,CV,CVC,nonword,mismatch,bal,sim,filler06,None
block08,donania,CV,CVC,nonword,mismatch,bal,don,filler07,None
block08,vobita,CV,CVC,nonword,mismatch,bal,vob,filler08,None
block08,cencera,CVC,CVC,nonword,match,bal,cen,filler09,None
block09,linaje,CV,CV,word,match,lin,lin,critical,1
block09,tartana,CVC,CV,word,mismatch,lin,tar,filler01,None
