,syllabification,corrSyl,corrAns,keyCVC,keyCV
0,caldera,cal,1.0,cal,ca
1,cantera,can,1.0,can,ca
2,ciruela,ci,2.0,cir,ci
3,culata,cu,2.0,cul,cu
4,gustazo,gus,1.0,gus,gu
5,latencia,la,2.0,lat,la
6,pericia,pe,2.0,per,pe
7,pupila,pu,2.0,pup,pu
8,sendero,sen,1.0,sen,se
9,sordina,sor,1.0,sor,so
