,syllabification,corrSyl,corrAns,leftKey,rightKey,condition
10,caldera,CAL,3,CA,CAL,CD
11,cantera,CAN,3,CA,CAN,CD
12,ciruela,CI,2,CI,CIR,CD
13,culata,CU,2,CU,CUL,CD
14,gustazo,GUS,3,GU,GUS,CD
15,latencia,LA,2,LA,LAT,CD
16,pericia,PE,2,PE,PER,CD
17,pupila,PU,2,PU,PUP,CD
18,sendero,SEN,3,SE,SEN,CD
19,sordina,SOR,3,SO,SOR,CD
