,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block21,pesipa,CV,CV,pe,nonword,match,pes,pes,critical,b
1,block21,docado,CV,CV,pe,nonword,match,pes,doc,filler01,None
2,block21,normaso,CVC,CV,pe,nonword,mismatch,pes,nor,filler02,None
3,block21,borpanza,CVC,CV,pe,nonword,mismatch,pes,bor,filler03,None
4,block21,daviba,CV,CV,pe,nonword,match,pes,dav,filler04,None
5,block21,cabsero,CVC,CV,pe,nonword,mismatch,pes,cab,filler05,None
6,block21,tutmuja,CVC,CV,pe,nonword,mismatch,pes,tut,filler06,None
7,block21,talaja,CV,CV,pe,nonword,match,pes,tal,filler07,None
8,block21,gorente,CV,CV,pe,nonword,match,pes,gor,filler08,None
9,block21,lultame,CVC,CV,pe,nonword,mismatch,pes,lul,filler09,None
