,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block41,culebra,CV,CV,cu,word,match,cul,cul,critical,b
1,block41,pintura,CVC,CV,cu,word,mismatch,cul,pin,filler01,None
2,block41,sarmiento,CVC,CV,cu,word,mismatch,cul,sar,filler02,None
3,block41,verdura,CVC,CV,cu,word,mismatch,cul,ver,filler03,None
4,block41,tobillo,CV,CV,cu,word,match,cul,tob,filler04,None
5,block41,vertiente,CVC,CV,cu,word,mismatch,cul,ver,filler05,None
6,block41,tarjeta,CVC,CV,cu,word,mismatch,cul,tar,filler06,None
7,block41,fijeza,CV,CV,cu,word,match,cul,fij,filler07,None
8,block41,tesoro,CV,CV,cu,word,match,cul,tes,filler08,None
9,block41,teniente,CV,CV,cu,word,match,cul,ten,filler09,None
