,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block42,culebra,CV,CVC,cul,word,mismatch,cul,cul,critical,b
1,block42,zarzuela,CVC,CVC,cul,word,match,cul,zar,filler01,None
2,block42,perchero,CVC,CVC,cul,word,match,cul,per,filler02,None
3,block42,perfidia,CVC,CVC,cul,word,match,cul,per,filler03,None
4,block42,persiana,CVC,CVC,cul,word,match,cul,per,filler04,None
5,block42,barbilla,CVC,CVC,cul,word,match,cul,bar,filler05,None
6,block42,viraje,CV,CVC,cul,word,mismatch,cul,vir,filler06,None
7,block42,redada,CV,CVC,cul,word,mismatch,cul,red,filler07,None
8,block42,naranjo,CV,CVC,cul,word,mismatch,cul,nar,filler08,None
9,block42,navaja,CV,CVC,cul,word,mismatch,cul,nav,filler09,None
