,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block49,moneda,CV,CV,mo,word,match,mon,mon,critical,b
1,block49,submundo,CVC,CV,mo,word,mismatch,mon,sub,filler01,None
2,block49,laxante,CV,CV,mo,word,match,mon,lax,filler02,None
3,block49,vislumbre,CVC,CV,mo,word,mismatch,mon,vis,filler03,None
4,block49,salchicha,CVC,CV,mo,word,mismatch,mon,sal,filler04,None
5,block49,lectura,CVC,CV,mo,word,mismatch,mon,lec,filler05,None
6,block49,cigarro,CV,CV,mo,word,match,mon,cig,filler06,None
7,block49,resabio,CV,CV,mo,word,match,mon,res,filler07,None
8,block49,rapiña,CV,CV,mo,word,match,mon,rap,filler08,None
9,block49,barbecho,CVC,CV,mo,word,mismatch,mon,bar,filler09,None
