,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block59,palmera,CVC,CV,pa,word,mismatch,pal,pal,critical,b
1,block59,gorguera,CVC,CV,pa,word,mismatch,pal,gor,filler01,None
2,block59,tijera,CV,CV,pa,word,match,pal,tij,filler02,None
3,block59,conducta,CVC,CV,pa,word,mismatch,pal,con,filler03,None
4,block59,vivero,CV,CV,pa,word,match,pal,viv,filler04,None
5,block59,fortuna,CVC,CV,pa,word,mismatch,pal,for,filler05,None
6,block59,cornada,CVC,CV,pa,word,mismatch,pal,cor,filler06,None
7,block59,regata,CV,CV,pa,word,match,pal,reg,filler07,None
8,block59,cigarra,CV,CV,pa,word,match,pal,cig,filler08,None
9,block59,giralda,CV,CV,pa,word,match,pal,gir,filler09,None
