,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block50,moneda,CV,CVC,mon,word,mismatch,mon,mon,critical,b
1,block50,tesina,CV,CVC,mon,word,mismatch,mon,tes,filler01,None
2,block50,bufete,CV,CVC,mon,word,mismatch,mon,buf,filler02,None
3,block50,deltoides,CVC,CVC,mon,word,match,mon,del,filler03,None
4,block50,talante,CV,CVC,mon,word,mismatch,mon,tal,filler04,None
5,block50,rabillo,CV,CVC,mon,word,mismatch,mon,rab,filler05,None
6,block50,farsante,CVC,CVC,mon,word,match,mon,far,filler06,None
7,block50,cordura,CVC,CVC,mon,word,match,mon,cor,filler07,None
8,block50,captura,CVC,CVC,mon,word,match,mon,cap,filler08,None
9,block50,tardanza,CVC,CVC,mon,word,match,mon,tar,filler09,None
