,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block06,balbusa,CVC,CV,ba,nonword,mismatch,bal,bal,critical,b
1,block06,soponso,CV,CV,ba,nonword,match,bal,sop,filler01,None
2,block06,zictencia,CVC,CV,ba,nonword,mismatch,bal,zic,filler02,None
3,block06,ruñansa,CV,CV,ba,nonword,match,bal,ruñ,filler03,None
4,block06,cuntefa,CVC,CV,ba,nonword,mismatch,bal,cun,filler04,None
5,block06,cicaigo,CV,CV,ba,nonword,match,bal,cic,filler05,None
6,block06,soreto,CV,CV,ba,nonword,match,bal,sor,filler06,None
7,block06,dosbiente,CVC,CV,ba,nonword,mismatch,bal,dos,filler07,None
8,block06,fontama,CVC,CV,ba,nonword,mismatch,bal,fon,filler08,None
9,block06,decibio,CV,CV,ba,nonword,match,bal,dec,filler09,None
