,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block13,linele,CV,CV,li,nonword,match,lin,lin,critical,b
1,block13,parvida,CVC,CV,li,nonword,mismatch,lin,par,filler01,None
2,block13,sociare,CV,CV,li,nonword,match,lin,soc,filler02,None
3,block13,decanro,CV,CV,li,nonword,match,lin,dec,filler03,None
4,block13,taviño,CV,CV,li,nonword,match,lin,tav,filler04,None
5,block13,pospana,CVC,CV,li,nonword,mismatch,lin,pos,filler05,None
6,block13,poscallo,CVC,CV,li,nonword,mismatch,lin,pos,filler06,None
7,block13,tornanga,CVC,CV,li,nonword,mismatch,lin,tor,filler07,None
8,block13,tusorto,CV,CV,li,nonword,match,lin,tus,filler08,None
9,block13,tercega,CVC,CV,li,nonword,mismatch,lin,ter,filler09,None
