,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block33,camisa,CV,CV,ca,word,match,cam,cam,critical,b
1,block33,porfía,CVC,CV,ca,word,mismatch,cam,por,filler01,None
2,block33,rendija,CVC,CV,ca,word,mismatch,cam,ren,filler02,None
3,block33,soborno,CV,CV,ca,word,match,cam,sob,filler03,None
4,block33,fondillo,CVC,CV,ca,word,mismatch,cam,fon,filler04,None
5,block33,felpudo,CVC,CV,ca,word,mismatch,cam,fel,filler05,None
6,block33,suspenso,CVC,CV,ca,word,mismatch,cam,sus,filler06,None
7,block33,topacio,CV,CV,ca,word,match,cam,top,filler07,None
8,block33,ribazo,CV,CV,ca,word,match,cam,rib,filler08,None
9,block33,pitillo,CV,CV,ca,word,match,cam,pit,filler09,None
