,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
42,vulgar,bul.ˈɣaɾ,1,CVC,no,word,CarreirasPerea2002,6.1298076923076925,,A,43.0,3.0,######,6.0,vul###,vul###,match
43,rincón,rĩn.ˈkõn,1,CVC,no,word,CarreirasPerea2002,8.389423076923077,,A,44.0,3.0,######,6.0,rin###,rin###,match
44,normal,noɾ.ˈmal,1,CVC,no,word,CarreirasPerea2002,105.48076923076924,,A,45.0,3.0,######,6.0,nor###,nor###,match
45,perdón,pɛɾ.ˈðõn,1,CVC,no,word,CarreirasPerea2002,217.11538461538458,,A,46.0,3.0,######,6.0,per###,per###,match
46,sector,sek̚.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,13.75,,A,47.0,3.0,######,6.0,sec###,sec###,match
47,carmín,kaɾ.ˈmĩn,1,CVC,no,word,CarreirasPerea2002,0.21634615384615385,,A,48.0,3.0,######,6.0,car###,car###,match
48,marfil,maɾ.ˈfil,1,CVC,no,word,CarreirasPerea2002,2.2115384615384617,,A,49.0,3.0,######,6.0,mar###,mar###,match
49,fervor,fɛɾ.ˈβoɾ,1,CVC,no,word,CarreirasPerea2002,1.4182692307692306,,A,50.0,3.0,######,6.0,fer###,fer###,match
50,bastón,bas.ˈtõn,1,CVC,no,word,CarreirasPerea2002,7.788461538461537,,A,51.0,2.0,######,6.0,ba####,ba####,mismatch
51,cartel,kaɾ.ˈtɛl,1,CVC,no,word,CarreirasPerea2002,14.399038461538463,,A,52.0,2.0,######,6.0,ca####,ca####,mismatch
52,cursor,kuɾ.ˈsoɾ,1,CVC,no,word,CarreirasPerea2002,0.1923076923076923,,A,53.0,2.0,######,6.0,cu####,cu####,mismatch
53,desliz,dɛs̬.ˈlis,1,CVC,no,word,CarreirasPerea2002,1.25,,A,54.0,2.0,######,6.0,de####,de####,mismatch
54,maldad,mal.ˈdað,1,CVC,no,word,CarreirasPerea2002,10.865384615384617,,A,55.0,2.0,######,6.0,ma####,ma####,mismatch
55,postal,pos.ˈtal,1,CVC,no,word,CarreirasPerea2002,9.759615384615383,,A,56.0,2.0,######,6.0,po####,po####,mismatch
56,reptil,rep̚.ˈtil,1,CVC,no,word,CarreirasPerea2002,1.1778846153846154,,A,57.0,2.0,######,6.0,re####,re####,mismatch
57,sartén,saɾ.ˈtɛ̃n,1,CVC,no,word,CarreirasPerea2002,3.2692307692307687,,A,58.0,2.0,######,6.0,sa####,sa####,mismatch
58,tambor,tãm.ˈboɾ,1,CVC,no,word,CarreirasPerea2002,4.663461538461538,,A,59.0,2.0,######,6.0,ta####,ta####,mismatch
59,pulgar,pul.ˈɣaɾ,1,CVC,no,word,CarreirasPerea2002,7.572115384615384,,A,60.0,2.0,######,6.0,pu####,pu####,mismatch
60,jardín,xaɾ.ˈðĩn,1,CVC,no,word,CarreirasPerea2002,39.519230769230774,,A,61.0,3.0,######,6.0,jar###,jar###,match
61,pintor,pĩn.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,7.7644230769230775,,A,62.0,3.0,######,6.0,pin###,pin###,match
62,mental,mɛ̃n.ˈtal,1,CVC,no,word,CarreirasPerea2002,26.25,,A,63.0,3.0,######,6.0,men###,men###,match
63,pastor,pas.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,13.149038461538463,,A,64.0,3.0,######,6.0,pas###,pas###,match
64,perfil,pɛɾ.ˈfil,1,CVC,no,word,CarreirasPerea2002,17.451923076923073,,A,65.0,3.0,######,6.0,per###,per###,match
65,factor,fak̚.ˈtoɾ,1,CVC,no,word,CarreirasPerea2002,6.586538461538463,,A,66.0,3.0,######,6.0,fac###,fac###,match
66,portal,poɾ.ˈtal,1,CVC,no,word,CarreirasPerea2002,10.889423076923077,,A,67.0,3.0,######,6.0,por###,por###,match
