tar_syl_str,wd_int_syl_str,partNum,wd_status,average
CV,CV,5a4eabd13646f90001741bbf,nonword,697.1625
CV,CV,5a875d6cf1408d0001769479,nonword,684.4911111111111
CV,CV,5a910c8a6475f900019f8cbc,nonword,863.91375
CV,CV,5b501a2ba0daa60001a336d4,nonword,828.3333333333334
CV,CV,5b5fdd52b36c3400014718b9,nonword,635.8888888888889
CV,CV,5bdf91dbb32fa800012ea282,nonword,772.915
CV,CV,5c2e48a2867f660001afd5f1,nonword,568.5233333333333
CV,CV,5c47c2564a1fb4000136e14a,nonword,925.5022222222223
CV,CV,5c53e9b6b7cf140001d31e6a,nonword,979.1428571428571
CV,CV,5c90617326e3ed00019896a5,nonword,683.6
CV,CV,5cb025049495a600190e00f3,nonword,765.2225
CV,CV,5cb6bdcd029f810001b23cfe,nonword,746.0933333333334
CV,CV,5cbe45745973850015f7b090,nonword,689.3333333333334
CV,CV,5cccd9bee48e6700175286ca,nonword,954.39
CV,CV,5d1288956e2c7b0016bbd0f6,nonword,700.5255555555556
CV,CV,5d366eba9749cc00185c21fb,nonword,809.6866666666667
CV,CV,5d51fdfb910d9e00017e62db,nonword,903.28
CV,CV,5d5496bdd84ebe0001f5fb20,nonword,850.79
CV,CV,5d58b26b5f36a80018f9975f,nonword,692.5728571428571
CV,CV,5dae5564baa8780015bc26a1,nonword,771.635
CV,CV,5e4877398af5eb310bc6f58f,nonword,728.3957142857143
CV,CV,5e522598d5aa4824b5829900,nonword,727.21375
CV,CV,5e9010494d246b3095f0e5a0,nonword,896.5555555555555
CV,CV,5e9532e400703c8b14ab0e80,nonword,781.9033333333333
CV,CV,5e9fe54e71ba9919c2d11b0e,nonword,780.6977777777778
CV,CV,5ea1bad6173fb70a0dd4b01d,nonword,776.5188888888889
CV,CV,5eaeebe9db992b0488624216,nonword,734.5044444444444
CV,CV,5eb3966158efe7182e31ff92,nonword,694.06375
CV,CV,5ebb2ee7b15eb00f0e3e2e71,nonword,676.31
CV,CV,5ebdf558e27afd134641d5dc,nonword,870.9271428571428
CV,CV,5ec1f0724553ff4e23b1f4ca,nonword,949
CV,CV,5ec354adf348311a5ee4019e,nonword,550.4966666666667
CV,CV,5ec3e5be68bbf2081da1eba2,nonword,728.9644444444444
CV,CV,5ec6a814c615390ad63cbf1f,nonword,723.5355555555556
CV,CV,5ec888262256df3457ab483b,nonword,786.9
CV,CV,5edac57737984c7168bedc3b,nonword,703.5233333333333
CV,CV,5ef58e6bd195c21efd19b29a,nonword,661.1388888888889
CV,CV,5ef6821865a4f11673527f75,nonword,846.6485714285715
CV,CV,5ef6c48340846d3c05b8236c,nonword,1119.7371428571428
CV,CV,5ef930974bc6e0000848aff7,nonword,874.0933333333334
CV,CV,5efc0a523b88f81bec18ea9b,nonword,849.65
CV,CV,5efcbbdd231bde0af2edb847,nonword,788.0122222222222
CV,CV,5efe8b80a22068390f4e70f6,nonword,737.5344444444445
CV,CV,5efeb01f2e80083c611538ea,nonword,1043.1385714285714
CV,CVC,5a4eabd13646f90001741bbf,nonword,749.8828571428571
CV,CVC,5a875d6cf1408d0001769479,nonword,944.3057142857143
CV,CVC,5a910c8a6475f900019f8cbc,nonword,872.0085714285715
CV,CVC,5b501a2ba0daa60001a336d4,nonword,845
CV,CVC,5b5fdd52b36c3400014718b9,nonword,803.8571428571429
CV,CVC,5bdf91dbb32fa800012ea282,nonword,854.8085714285714
CV,CVC,5c2e48a2867f660001afd5f1,nonword,624.79
CV,CVC,5c47c2564a1fb4000136e14a,nonword,818.894
CV,CVC,5c53e9b6b7cf140001d31e6a,nonword,916.5714285714286
CV,CVC,5c90617326e3ed00019896a5,nonword,784.64
CV,CVC,5cb025049495a600190e00f3,nonword,942.815
CV,CVC,5cb6bdcd029f810001b23cfe,nonword,776.76
CV,CVC,5cbe45745973850015f7b090,nonword,766.5714285714286
CV,CVC,5cccd9bee48e6700175286ca,nonword,1073.8057142857142
CV,CVC,5d1288956e2c7b0016bbd0f6,nonword,689.1814285714286
CV,CVC,5d366eba9749cc00185c21fb,nonword,886.7371428571429
CV,CVC,5d51fdfb910d9e00017e62db,nonword,981.2733333333334
CV,CVC,5d5496bdd84ebe0001f5fb20,nonword,882.5728571428572
CV,CVC,5d58b26b5f36a80018f9975f,nonword,621.8842857142857
CV,CVC,5dae5564baa8780015bc26a1,nonword,758.4485714285714
CV,CVC,5e4877398af5eb310bc6f58f,nonword,890.6928571428572
CV,CVC,5e522598d5aa4824b5829900,nonword,718.4166666666666
CV,CVC,5e9010494d246b3095f0e5a0,nonword,917.1666666666666
CV,CVC,5e9532e400703c8b14ab0e80,nonword,697.7228571428572
CV,CVC,5e9fe54e71ba9919c2d11b0e,nonword,865.3842857142857
CV,CVC,5ea1bad6173fb70a0dd4b01d,nonword,626.61
CV,CVC,5eaeebe9db992b0488624216,nonword,763.96
CV,CVC,5eb3966158efe7182e31ff92,nonword,702.3457142857143
CV,CVC,5ebb2ee7b15eb00f0e3e2e71,nonword,581.61
CV,CVC,5ebdf558e27afd134641d5dc,nonword,957.3028571428572
CV,CVC,5ec1f0724553ff4e23b1f4ca,nonword,790.7142857142857
CV,CVC,5ec354adf348311a5ee4019e,nonword,540.0657142857143
CV,CVC,5ec3e5be68bbf2081da1eba2,nonword,681.8042857142857
CV,CVC,5ec6a814c615390ad63cbf1f,nonword,768.076
CV,CVC,5ec888262256df3457ab483b,nonword,719.2514285714286
CV,CVC,5edac57737984c7168bedc3b,nonword,745.82
CV,CVC,5ef58e6bd195c21efd19b29a,nonword,737.0357142857143
CV,CVC,5ef6821865a4f11673527f75,nonword,924.835
CV,CVC,5ef6c48340846d3c05b8236c,nonword,1023.676
CV,CVC,5ef930974bc6e0000848aff7,nonword,996.8275000000001
CV,CVC,5efc0a523b88f81bec18ea9b,nonword,691.3271428571428
CV,CVC,5efcbbdd231bde0af2edb847,nonword,863.89
CV,CVC,5efe8b80a22068390f4e70f6,nonword,837.6428571428571
CV,CVC,5efeb01f2e80083c611538ea,nonword,1218.3828571428571
CVC,CV,5a4eabd13646f90001741bbf,nonword,827.222
CVC,CV,5a875d6cf1408d0001769479,nonword,700.8785714285714
CVC,CV,5a910c8a6475f900019f8cbc,nonword,705.1142857142856
CVC,CV,5b501a2ba0daa60001a336d4,nonword,785
CVC,CV,5b5fdd52b36c3400014718b9,nonword,739
CVC,CV,5bdf91dbb32fa800012ea282,nonword,766.65
CVC,CV,5c2e48a2867f660001afd5f1,nonword,739.0314285714286
CVC,CV,5c47c2564a1fb4000136e14a,nonword,880.2285714285714
CVC,CV,5c53e9b6b7cf140001d31e6a,nonword,984
CVC,CV,5c90617326e3ed00019896a5,nonword,709.2671428571429
CVC,CV,5cb025049495a600190e00f3,nonword,955.1828571428571
CVC,CV,5cb6bdcd029f810001b23cfe,nonword,764.2
CVC,CV,5cbe45745973850015f7b090,nonword,808.5714285714286
CVC,CV,5cccd9bee48e6700175286ca,nonword,932.6914285714286
CVC,CV,5d1288956e2c7b0016bbd0f6,nonword,766.5328571428571
CVC,CV,5d366eba9749cc00185c21fb,nonword,877.4871428571429
CVC,CV,5d51fdfb910d9e00017e62db,nonword,796.7283333333334
CVC,CV,5d5496bdd84ebe0001f5fb20,nonword,925.5066666666667
CVC,CV,5d58b26b5f36a80018f9975f,nonword,606.6683333333333
CVC,CV,5dae5564baa8780015bc26a1,nonword,850.6842857142858
CVC,CV,5e4877398af5eb310bc6f58f,nonword,849.2316666666667
CVC,CV,5e522598d5aa4824b5829900,nonword,726.1242857142857
CVC,CV,5e9010494d246b3095f0e5a0,nonword,869.7142857142857
CVC,CV,5e9532e400703c8b14ab0e80,nonword,617.7842857142857
CVC,CV,5e9fe54e71ba9919c2d11b0e,nonword,717.6800000000001
CVC,CV,5ea1bad6173fb70a0dd4b01d,nonword,617.26
CVC,CV,5eaeebe9db992b0488624216,nonword,886.6128571428571
CVC,CV,5eb3966158efe7182e31ff92,nonword,796.7571428571429
CVC,CV,5ebb2ee7b15eb00f0e3e2e71,nonword,581.9428571428572
CVC,CV,5ebdf558e27afd134641d5dc,nonword,831.78
CVC,CV,5ec1f0724553ff4e23b1f4ca,nonword,966
CVC,CV,5ec354adf348311a5ee4019e,nonword,570.9771428571429
CVC,CV,5ec3e5be68bbf2081da1eba2,nonword,700.6466666666666
CVC,CV,5ec6a814c615390ad63cbf1f,nonword,866.8385714285714
CVC,CV,5ec888262256df3457ab483b,nonword,826.24
CVC,CV,5edac57737984c7168bedc3b,nonword,686.8557142857143
CVC,CV,5ef58e6bd195c21efd19b29a,nonword,798.2666666666667
CVC,CV,5ef6821865a4f11673527f75,nonword,701.1566666666666
