participant,Target,Carrier,RTmsec,trialTarget,trialStimuli
part08,CV,CVC,502.84,mo,morcillo
part08,CV,CVC,552.06,ga,garganta
part08,CVC,CV,568.16,mur,muralla
part08,CVC,CV,769.04,cos,cosecha
part08,CVC,CVC,585.55,bol,bolsillo
part08,CV,CVC,552.52,vo,voltaje
part08,CV,CVC,619.01,pe,permiso
part08,CVC,CVC,603.46,cul,culpable
part08,CV,CV,503.6,pe,peseta
part08,CV,CVC,652.51,pa,palmera
part08,CVC,CVC,536.4,cer,cerveza
part08,CVC,CVC,566.06,jor,jornada
part08,CVC,CV,618.72,gan,ganancia
part08,CV,CV,701.76,ro,rosario
part08,CV,CVC,716.03,co,corteza
