,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block25,rosario,CV,CV,ro,word,match,ros,ros,critical,b
1,block25,pantalla,CVC,CV,ro,word,mismatch,ros,pan,filler01,None
2,block25,lenguaje,CVC,CV,ro,word,mismatch,ros,len,filler02,None
3,block25,cambiazo,CVC,CV,ro,word,mismatch,ros,cam,filler03,None
4,block25,campiña,CVC,CV,ro,word,mismatch,ros,cam,filler04,None
5,block25,putada,CV,CV,ro,word,match,ros,put,filler05,None
6,block25,pileta,CV,CV,ro,word,match,ros,pil,filler06,None
7,block25,legajo,CV,CV,ro,word,match,ros,leg,filler07,None
8,block25,veleta,CV,CV,ro,word,match,ros,vel,filler08,None
9,block25,balbina,CVC,CV,ro,word,mismatch,ros,bal,filler09,None
