,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block18,pestaña,CVC,CV,pe,word,mismatch,pes,pes,critical,b
1,block18,langosta,CVC,CV,pe,word,mismatch,pes,lan,filler01,None
2,block18,jilguero,CVC,CV,pe,word,mismatch,pes,jil,filler02,None
3,block18,gordura,CVC,CV,pe,word,mismatch,pes,gor,filler03,None
4,block18,cigarro,CV,CV,pe,word,match,pes,cig,filler04,None
5,block18,fantoche,CVC,CV,pe,word,mismatch,pes,fan,filler05,None
6,block18,laguna,CV,CV,pe,word,match,pes,lag,filler06,None
7,block18,jacinto,CV,CV,pe,word,match,pes,jac,filler07,None
8,block18,duquesa,CV,CV,pe,word,match,pes,duq,filler08,None
9,block18,dominio,CV,CV,pe,word,match,pes,dom,filler09,None
