,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block05,balega,CV,CV,ba,nonword,match,bal,bal,critical,b
1,block05,soponso,CV,CV,ba,nonword,match,bal,sop,filler01,None
2,block05,zictencia,CVC,CV,ba,nonword,mismatch,bal,zic,filler02,None
3,block05,turjuma,CVC,CV,ba,nonword,mismatch,bal,tur,filler03,None
4,block05,cuntefa,CVC,CV,ba,nonword,mismatch,bal,cun,filler04,None
5,block05,cicaigo,CV,CV,ba,nonword,match,bal,cic,filler05,None
6,block05,soreto,CV,CV,ba,nonword,match,bal,sor,filler06,None
7,block05,dosbiente,CVC,CV,ba,nonword,mismatch,bal,dos,filler07,None
8,block05,fontama,CVC,CV,ba,nonword,mismatch,bal,fon,filler08,None
9,block05,decibio,CV,CV,ba,nonword,match,bal,dec,filler09,None
