,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block24,pesdeña,CVC,CVC,pes,nonword,match,pes,pes,critical,b
1,block24,tomida,CV,CVC,pes,nonword,mismatch,pes,tom,filler01,None
2,block24,farime,CV,CVC,pes,nonword,mismatch,pes,far,filler02,None
3,block24,civillo,CV,CVC,pes,nonword,mismatch,pes,civ,filler03,None
4,block24,cunceza,CVC,CVC,pes,nonword,match,pes,cun,filler04,None
5,block24,tecido,CV,CVC,pes,nonword,mismatch,pes,tec,filler05,None
6,block24,mingrago,CVC,CVC,pes,nonword,match,pes,min,filler06,None
7,block24,rizgura,CVC,CVC,pes,nonword,match,pes,riz,filler07,None
8,block24,duliste,CV,CVC,pes,nonword,mismatch,pes,dul,filler08,None
9,block24,cubteha,CVC,CVC,pes,nonword,match,pes,cub,filler09,None
