,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block40,cambena,CVC,CVC,cam,nonword,match,cam,cam,critical,b
1,block40,devillo,CV,CVC,cam,nonword,mismatch,cam,dev,filler01,None
2,block40,nencida,CVC,CVC,cam,nonword,match,cam,nen,filler02,None
3,block40,pirijuo,CV,CVC,cam,nonword,mismatch,cam,pir,filler03,None
4,block40,bercillo,CVC,CVC,cam,nonword,match,cam,ber,filler04,None
5,block40,penvalla,CVC,CVC,cam,nonword,match,cam,pen,filler05,None
6,block40,voltura,CVC,CVC,cam,nonword,match,cam,vol,filler06,None
7,block40,dilisia,CV,CVC,cam,nonword,mismatch,cam,dil,filler07,None
8,block40,febago,CV,CVC,cam,nonword,mismatch,cam,feb,filler08,None
9,block40,lercuente,CVC,CVC,cam,nonword,match,cam,ler,filler09,None
