,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block56,monseña,CVC,CVC,mon,nonword,match,mon,mon,critical,b
1,block56,parvaza,CVC,CVC,mon,nonword,match,mon,par,filler01,None
2,block56,recinto,CV,CVC,mon,nonword,mismatch,mon,rec,filler02,None
3,block56,ternura,CVC,CVC,mon,nonword,match,mon,ter,filler03,None
4,block56,tarsallo,CVC,CVC,mon,nonword,match,mon,tar,filler04,None
5,block56,serpiente,CVC,CVC,mon,nonword,match,mon,ser,filler05,None
6,block56,reducto,CV,CVC,mon,nonword,mismatch,mon,red,filler06,None
7,block56,tarima,CV,CVC,mon,nonword,mismatch,mon,tar,filler07,None
8,block56,recado,CV,CVC,mon,nonword,mismatch,mon,rec,filler08,None
9,block56,sepulcro,CV,CVC,mon,nonword,mismatch,mon,sep,filler09,None
