,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block46,culseble,CVC,CVC,cul,nonword,match,cul,cul,critical,b
1,block46,nesedo,CV,CVC,cul,nonword,mismatch,cul,nes,filler01,None
2,block46,deñalla,CV,CVC,cul,nonword,mismatch,cul,deñ,filler02,None
3,block46,varime,CV,CVC,cul,nonword,mismatch,cul,var,filler03,None
4,block46,fantarna,CVC,CVC,cul,nonword,match,cul,fan,filler04,None
5,block46,norita,CV,CVC,cul,nonword,mismatch,cul,nor,filler05,None
6,block46,permaza,CVC,CVC,cul,nonword,match,cul,per,filler06,None
7,block46,dipona,CV,CVC,cul,nonword,mismatch,cul,dip,filler07,None
8,block46,fangurdo,CVC,CVC,cul,nonword,match,cul,fan,filler08,None
9,block46,manvera,CVC,CVC,cul,nonword,match,cul,man,filler09,None
