,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,segResp,segRespCorr,segRespRT,exp_pres_order,corrAns
116,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,tufillo,CV,CVC,gar,word,mismatch,gar,tuf,filler08,,,,,
117,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,pestillo,CVC,CVC,gar,word,match,gar,pes,filler05,,,,,
118,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07,,,,,
119,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06,,,,,
120,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02,,,,,
121,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block07,postigo,CVC,CVC,gar,word,match,gar,pos,filler03,,,,,
123,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05,,,,,
124,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08,,,,,
125,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,garventa,CVC,CVC,gar,nonword,match,gar,gar,critical,,,,,
126,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06,,,,,
127,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,sucema,CV,CVC,gar,nonword,mismatch,gar,suc,filler03,,,,,
128,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02,,,,,
129,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01,,,,,
130,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04,,,,,
131,30,Mujer,Estados Unidos,Estados Unidos,Estados Unidos,Máster,ambos,inglés,5e99e7c742f067061edc2018,2020-07-23_15h49.59.525,lemma_segmentation,Win32,5f19e97a6f01b90a2758eabf,block15,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07,,,,,
