,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block39,cambena,CVC,CV,ca,nonword,mismatch,cam,cam,critical,b
1,block39,depite,CV,CV,ca,nonword,match,cam,dep,filler01,None
2,block39,neteno,CV,CV,ca,nonword,match,cam,net,filler02,None
3,block39,nenedo,CV,CV,ca,nonword,match,cam,nen,filler03,None
4,block39,dedioro,CV,CV,ca,nonword,match,cam,ded,filler04,None
5,block39,sobvondo,CVC,CV,ca,nonword,mismatch,cam,sob,filler05,None
6,block39,tunruja,CVC,CV,ca,nonword,mismatch,cam,tun,filler06,None
7,block39,sunsanso,CVC,CV,ca,nonword,mismatch,cam,sun,filler07,None
8,block39,sutmido,CVC,CV,ca,nonword,mismatch,cam,sut,filler08,None
9,block39,tituila,CV,CV,ca,nonword,match,cam,tit,filler09,None
