,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block53,moniga,CV,CV,mo,nonword,match,mon,mon,critical,b
1,block53,hicuila,CV,CV,mo,nonword,match,mon,hic,filler01,None
2,block53,lisnombre,CVC,CV,mo,nonword,mismatch,mon,lis,filler02,None
3,block53,tecillo,CV,CV,mo,nonword,match,mon,tec,filler03,None
4,block53,pargaza,CVC,CV,mo,nonword,mismatch,mon,par,filler04,None
5,block53,tipallo,CV,CV,mo,nonword,match,mon,tip,filler05,None
6,block53,fernuera,CVC,CV,mo,nonword,mismatch,mon,fer,filler06,None
7,block53,rucilla,CV,CV,mo,nonword,match,mon,ruc,filler07,None
8,block53,viltancia,CVC,CV,mo,nonword,mismatch,mon,vil,filler08,None
9,block53,zuccancia,CVC,CV,mo,nonword,mismatch,mon,zuc,filler09,None
