,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block51,montaña,CVC,CV,mo,word,mismatch,mon,mon,critical,b
1,block51,submundo,CVC,CV,mo,word,mismatch,mon,sub,filler01,None
2,block51,laxante,CV,CV,mo,word,match,mon,lax,filler02,None
3,block51,vislumbre,CVC,CV,mo,word,mismatch,mon,vis,filler03,None
4,block51,salchicha,CVC,CV,mo,word,mismatch,mon,sal,filler04,None
5,block51,lectura,CVC,CV,mo,word,mismatch,mon,lec,filler05,None
6,block51,tufillo,CV,CV,mo,word,match,mon,tuf,filler06,None
7,block51,resabio,CV,CV,mo,word,match,mon,res,filler07,None
8,block51,rapiña,CV,CV,mo,word,match,mon,rap,filler08,None
9,block51,tesina,CV,CV,mo,word,match,mon,tes,filler09,None
