,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
258,pantalla,24.80769230769231,CVC,8.0,screen,,Keep
259,pantera,2.067307692307692,CVC,0.0,panther,,Keep
260,pastiche,1.07,CVC,0.0,art imitation celbrating original work,pastiche lex freq. is from LEXESP in NIM,Keep
261,patera,0.89,CV,0.0,dinghy (Small boat),patera lex freq. is from LEXESP in NIM,Keep
262,pedrera,0.53,CVC,0.0,quarry,pedrera lex freq. is from LEXESP in NIM,Keep
263,percance,0.7932692307692307,CVC,8.0,mishap,,Keep
264,perchero,0.625,CVC,8.0,Coat rack,,Keep
265,perfidia,1.0659999999999998,CVC,4.0,treachery,perfidia lex freq. is from LEXESP in NIM,Keep
266,pericia,1.2019230769230769,CV,2.0,skill; experitse,,Keep
267,perico,0.8653846153846153,CV,0.0,parakeet,,Keep
268,perilla,0.9615384615384616,CV,0.0,Knob or switch,,Keep
269,periodo,2.49,CV,0.0,time period,periodo lex freq. is from LEXESP in NIM,Keep
270,periplo,3.02,CV,0.0,jounrey (long trip),periplo lex freq. is from LEXESP in NIM,Keep
271,perjuicio,1.0096153846153846,CVC,0.0,harm,,Keep
272,pernera,0.71,CVC,0.0,pant leg,pernera lex freq. is from LEXESP in NIM,Keep
273,perrera,2.836538461538461,CVC,0.0,kennel,,Keep
274,persiana,0.625,CVC,8.0,blinds,,Keep
275,pescante,1.0659999999999998,CVC,0.0,coachman's seat,pescante lex freq. is from LEXESP in NIM,Keep
276,pescuezo,1.033653846153846,CVC,4.0,neck,,Keep
277,pesquisa,1.421,CVC,8.0,inquiry; investigation,pesquisa lex freq. is from LEXESP in NIM,Keep
278,pestillo,0.4326923076923077,CVC,8.0,bolt or latch,,Keep
279,pichichi,0.53,CVC,0.0,top scorer,pichichi lex freq. is from LEXESP in NIM,Keep
280,picota,4.974,CV,8.0,bigarreau cherry,picota lex freq. is from LEXESP in NIM,Keep
281,pigmento,0.5528846153846154,CVC,0.0,pigment,,Keep
282,pijama,5.168269230769232,CV,0.0,pyjama,,Keep
283,pileta,2.8605769230769234,CV,8.0,sink,,Keep
284,piltrafa,1.0659999999999998,CVC,4.0,scrap,piltrafa lex freq. is from LEXESP in NIM,Keep
285,pimienta,6.1298076923076925,CV,4.0,pepper (spice),,Keep
286,pimiento,0.5288461538461539,CV,4.0,pepper (vegetable),,Keep
287,pinchazo,1.971153846153846,CVC,4.0,puncture,,Keep
288,pineda,2.309,CV,0.0,pinewood,pineda lex freq. is from LEXESP in NIM,Keep
289,pingüino,3.75,CVC,0.0,peguin,,Keep
290,pinocho,3.9182692307692313,CV,0.0,Pinocchio,,Keep
291,pintura,34.39903846153846,CVC,4.0,painting,,Keep
292,piqueta,0.53,CV,0.0,pickax,piqueta lex freq. is from LEXESP in NIM,Keep
293,piquete,2.31,CV,0.0,pickete,piquete lex freq. is from LEXESP in NIM,Keep
294,piragua,0.888,CV,4.0,canoe,piragua lex freq. is from LEXESP in NIM,Keep
295,piropo,0.3846153846153846,CV,4.0,catcall,,Keep
296,pirueta,0.4807692307692307,CV,0.0,pirouette,,Keep
297,piscina,34.759615384615394,CVC,8.0,pool,,Keep
298,pistacho,1.25,CVC,0.0,pistachio,,Keep
299,pistilo,0.53,CVC,0.0,pistil (inside flower),pistilo lex freq. is from LEXESP in NIM,Keep
300,pistola,55.69711538461538,CVC,0.0,pistol,,Keep
301,pitido,0.6009615384615384,CV,0.0,whistle; beep; honk,,Keep
302,pitillo,0.24038461538461536,CV,4.0,straw,,Keep
303,pizarra,4.591346153846153,CV,8.0,chalkboard,,Keep
304,pobreza,7.355769230769232,CVC,0.0,poverty,,Keep
305,pocilga,3.7980769230769234,CV,8.0,pigsty,,Keep
306,pocillo,0.89,CV,0.0,coffee mug,pocillo lex freq. is from LEXESP in NIM,Keep
307,polenta,0.71,CV,0.0,cornmeal,polenta lex freq. is from LEXESP in NIM,Keep
308,polilla,1.0817307692307692,CV,0.0,moth,,Keep
309,polluelo,0.21634615384615385,CVC,0.0,chick (bird baby),,Keep
310,polonia,5.769230769230768,CV,0.0,Poland,,Keep
311,poltrona,1.0659999999999998,CVC,8.0,easy chair,poltrona lex freq. is from LEXESP in NIM,Keep
