,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block30,rosvailla,CVC,CV,ro,nonword,mismatch,ros,ros,critical,b
1,block30,tidioma,CV,CV,ro,nonword,match,ros,tid,filler01,None
2,block30,cinsecho,CVC,CV,ro,nonword,mismatch,ros,cin,filler02,None
3,block30,bimena,CV,CV,ro,nonword,match,ros,bim,filler03,None
4,block30,lectorio,CVC,CV,ro,nonword,mismatch,ros,lec,filler04,None
5,block30,denfiña,CVC,CV,ro,nonword,mismatch,ros,den,filler05,None
6,block30,fimallo,CV,CV,ro,nonword,match,ros,fim,filler06,None
7,block30,canreza,CVC,CV,ro,nonword,mismatch,ros,can,filler07,None
8,block30,naduta,CV,CV,ro,nonword,match,ros,nad,filler08,None
9,block30,demonto,CV,CV,ro,nonword,match,ros,dem,filler09,None
