,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block45,culitra,CV,CV,cu,nonword,match,cul,cul,critical,b
1,block45,nesedo,CV,CV,cu,nonword,match,cul,nes,filler01,None
2,block45,dosgiente,CVC,CV,cu,nonword,mismatch,cul,dos,filler02,None
3,block45,varime,CV,CV,cu,nonword,match,cul,var,filler03,None
4,block45,fantarna,CVC,CV,cu,nonword,mismatch,cul,fan,filler04,None
5,block45,norita,CV,CV,cu,nonword,match,cul,nor,filler05,None
6,block45,permaza,CVC,CV,cu,nonword,mismatch,cul,per,filler06,None
7,block45,dipona,CV,CV,cu,nonword,match,cul,dip,filler07,None
8,block45,fangurdo,CVC,CV,cu,nonword,mismatch,cul,fan,filler08,None
9,block45,manvera,CVC,CV,cu,nonword,mismatch,cul,man,filler09,None
