,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block47,culitra,CV,CV,cu,nonword,match,cul,cul,critical,b
1,block47,deñalla,CV,CV,cu,nonword,match,cul,deñ,filler01,None
2,block47,tidencio,CV,CV,cu,nonword,match,cul,tid,filler02,None
3,block47,banfalla,CVC,CV,cu,nonword,mismatch,cul,ban,filler03,None
4,block47,sitena,CV,CV,cu,nonword,match,cul,sit,filler04,None
5,block47,senrera,CVC,CV,cu,nonword,mismatch,cul,sen,filler05,None
6,block47,bitena,CV,CV,cu,nonword,match,cul,bit,filler06,None
7,block47,torsenza,CVC,CV,cu,nonword,mismatch,cul,tor,filler07,None
8,block47,tarbenga,CVC,CV,cu,nonword,mismatch,cul,tar,filler08,None
9,block47,nastallo,CVC,CV,cu,nonword,mismatch,cul,nas,filler09,None
