,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block17,peseta,CV,CV,pe,word,match,pes,pes,critical,b
1,block17,langosta,CVC,CV,pe,word,mismatch,pes,lan,filler01,None
2,block17,jilguero,CVC,CV,pe,word,mismatch,pes,jil,filler02,None
3,block17,gordura,CVC,CV,pe,word,mismatch,pes,gor,filler03,None
4,block17,doncella,CVC,CV,pe,word,mismatch,pes,don,filler04,None
5,block17,fantoche,CVC,CV,pe,word,mismatch,pes,fan,filler05,None
6,block17,laguna,CV,CV,pe,word,match,pes,lag,filler06,None
7,block17,jacinto,CV,CV,pe,word,match,pes,jac,filler07,None
8,block17,duquesa,CV,CV,pe,word,match,pes,duq,filler08,None
9,block17,dominio,CV,CV,pe,word,match,pes,dom,filler09,None
