,block,expWord,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,fillerCarrier,corrAns
0,block23,pesipa,CV,CVC,pes,nonword,mismatch,pes,pes,critical,b
1,block23,tomida,CV,CVC,pes,nonword,mismatch,pes,tom,filler01,None
2,block23,farime,CV,CVC,pes,nonword,mismatch,pes,far,filler02,None
3,block23,civillo,CV,CVC,pes,nonword,mismatch,pes,civ,filler03,None
4,block23,cunceza,CVC,CVC,pes,nonword,match,pes,cun,filler04,None
5,block23,runrullo,CVC,CVC,pes,nonword,match,pes,run,filler05,None
6,block23,mingrago,CVC,CVC,pes,nonword,match,pes,min,filler06,None
7,block23,rizgura,CVC,CVC,pes,nonword,match,pes,riz,filler07,None
8,block23,duliste,CV,CVC,pes,nonword,mismatch,pes,dul,filler08,None
9,block23,cubteha,CVC,CVC,pes,nonword,match,pes,cub,filler09,None
